state,polling_margin_dem,poll_count,effective_poll_count,latest_poll_end_date,avg_poll_age_days,total_poll_weight,largest_pollster_weight_share,only_partisan_or_internal_polls,max_absolute_environment_translation
AK,0.8316205120483131,3,2.2987754137821472,2026-07-29,31.503915015682793,7.788531055045729e-06,0.5919106277269337,False,0.0
FL,-2.717660329007412,4,3.649676575296469,2026-06-14,62.732502723836106,1.0406714327435016,0.35000000000000003,False,0.0
GA,10.5741005254939,2,1.9132392115233512,2026-07-16,23.870502627469495,8.110169118827646e-06,0.6064748686265251,False,0.0
IA,0.46428535657335496,5,4.102821169578986,2026-07-27,28.455776398413192,3.3553893542545525,0.3227174421821014,False,0.0
MA,28.0,1,1.0,2026-06-12,51.0,0.5551362553247728,1.0,False,0.0
ME,3.0,1,1.0,2026-07-20,13.0,1.1479297529207328,1.0,False,0.0
MT,-17.77500156758879,3,2.9850744798308018,2026-07-27,30.349992574579403,0.9752755245225118,0.35000016500934655,False,0.0
NC,6.319069212101764,4,3.368067172251661,2026-07-27,16.42400380889196,3.3610813783720093,0.3499999999999999,False,0.0
NH,4.0,1,1.0,2026-07-09,22.0,0.4647487048931083,1.0,True,0.0
OH,1.6005938977342427,4,3.774174315376096,2026-07-28,42.31574844295014,1.76706341930143,0.35,False,0.0
TX,2.1716428109474926,9,6.846164916277684,2026-07-27,34.81873998744091,5.568682714202915,0.24776901552179484,False,0.0
